Vendor_ID,Vendor_Name,Vendor_Category,Years_In_Business,Total_Orders,Delivered_Orders,Returned_Orders,Delayed_Orders,Disputed_Orders,Avg_Delivery_Days,Rating,Product_Quality_Score,Response_Time_Hours,Refund_Rate,Contract_Value,Risk_Level
V5095,Vendor_185_LLC,Textiles,20,791,574,173,212,501,27,3.42,10.0,30.0,0.0177,259693.0,High
V4747,Vendor_794_LLC,Raw Materials,21,753,336,220,279,137,10,4.74,7.0,68.0,0.215,400169.0,high
V3493,Vendor_924_Co,Electronics,16,4034,1795,877,4,412,3,2.18,3.0,33.0,0.0948,406028.0,NO
V2809,Vendor_154_Ltd,Electronics,5,84,83,81,47,79,8,4.6,9.0,41.0,0.2327,394515.0,High
V7526,Vendor_885_Co,Automotive,23,4072,2220,1088,206,456,20,4.54,3.0,58.0,0.0929,187706.0,high
V6203,Vendor_884_LLC,Machinery,14,292,219,172,151,32,2,,,31.0,0.2346,437810.0,Low Risk
V9617,Vendor_567_Corp,Office Supplies,14,4844,2719,411,1803,408,28,-1.0,3.0,10.0,0.1408,139948.0,Low
V4392,Vendor_179_Ltd,Chemicals,5,1436,784,55,703,580,25,Poor,4.0,30.0,0.0351,50540.0,High
V9777,Vendor_269_LLC,IT Hardware,17,2312,982,628,740,418,21,2.56,4.0,53.0,0.175,308403.0,Low
V3343,Vendor_617_LLC,Electronics,12,2073,551,540,176,428,8,3.46,3.0,28.0,0.2152,47523.0,High
V9830,Vendor_938_Ltd,Machinery,17,2992,2540,978,1313,259,22,3.49,9.0,20.0,0.1839,170135.0,high
V9351,Vendor_578_Corp,IT Hardware,20,4776,3075,1140,2226,2102,4,3.85,5.0,15.0,0.2885,17307.0,NO
V7278,Vendor_979_LLC,Machinery,19,150,92,6,77,12,22,,3.0,32.0,0.2455,420806.0,high
V7682,Vendor_370_Ltd,Food & Beverage,27,2159,26,10,13,15,3,4.32,7.0,12.0,,121315.0,
V5829,Vendor_577_LLC,Electronics,10,4793,2277,1798,576,1440,16,2.75,5.0,17.0,0.2037,235759.0,Low
V6848,Vendor_351_Inc,Electronics,5,2808,402,326,234,246,3,3.84,1.0,22.0,0.0054,482243.0,1
V6968,Vendor_887_Inc,Packaging,30,1313,795,145,25,338,24,4.98,3.0,65.0,0.0905,262004.0,Low
V2860,Vendor_196_Ltd,Automotive,12,2439,968,406,69,668,19,4.43,3.0,40.0,0.0213,260111.0,1
V3371,Vendor_179_LLC,Electronics,9,3370,1351,906,247,823,25,4.25,1.0,37.0,0.1545,336462.0,low
V1472,Vendor_982_Inc,Office Supplies,16,3708,3123,3123,1735,36,2,3.77,4.0,53.0,0.2251,176914.0,High
V8144,Vendor_989_Inc,Food & Beverage,23,4916,2963,2380,1968,2316,27,2.36,9.0,3.0,0.2536,86378.0,Low Risk
V1644,Vendor_851_Ltd,Textiles,12,2152,384,49,139,86,28,2.29,4.0,28.0,0.1012,440958.0,Low Risk
V8243,Vendor_578_Ltd,IT Hardware,5,4155,3592,466,1193,2458,19,3.83,2.0,31.0,0.2807,126220.0,low
V7465,Vendor_446_Corp,Textiles,1,3635,1038,740,197,174,18,3.2,5.0,42.0,0.2636,118827.0,1
V9702,Vendor_425_Co,Textiles,16,4552,2263,428,862,439,3,3.57,3.0,14.0,0.0603,7958.0,Low
V6226,Vendor_231_Co,Automotive,13,840,671,414,12,164,22,3.36,8.0,52.0,0.1267,29579.0,High
V3930,Vendor_557_Co,Packaging,16,2930,353,197,54,259,30,4.81,3.0,40.0,0.1579,408157.0,Low
V5833,Vendor_892_Corp,Automotive,9,2153,431,237,322,14,7,,4.0,62.0,,98879.0,
V2795,Vendor_205_Ltd,Raw Materials,12,3751,2824,1186,2366,1149,19,4.69,4.0,52.0,0.0887,483911.0,High Risk
V4609,Vendor_758_Inc,IT Hardware,19,158,88,23,45,56,24,3.53,6.0,2.0,0.0647,273043.0,1
V3543,Vendor_911_LLC,Food & Beverage,21,4657,1829,1549,118,1591,17,N/A,7.0,45.0,0.075,167042.0,1
V7056,Vendor_851_LLC,Automotive,17,3420,2117,107,747,1488,25,4.25,8.0,26.0,0.138,293919.0,High
V1749,Vendor_956_Corp,Textiles,2,2530,1628,411,543,22,19,2.91,4.0,54.0,0.2588,443280.0,NO
V3866,Vendor_660_Co,IT Hardware,17,4701,1277,480,505,180,11,2.35,9.0,56.0,0.2205,458418.0,0
V2736,Vendor_464_Corp,Machinery,14,1625,692,186,571,550,20,4.33,3.0,65.0,0.1496,370498.0,0
V3913,Vendor_703_LLC,Food & Beverage,28,3666,3665,3232,531,139,30,3.89,6.0,53.0,0.0123,151016.0,Low
V4047,Vendor_334_Ltd,Chemicals,6,1230,600,145,446,285,17,2.2,2.0,7.0,0.1718,411570.0,
V5861,Vendor_706_LLC,Automotive,22,1440,671,262,38,114,28,4.68,8.0,48.0,0.0875,337007.0,
V7468,Vendor_625_Corp,Office Supplies,8,3538,811,670,269,302,10,2.08,1.0,24.0,0.1233,476864.0,YES
V4413,Vendor_567_Corp,Machinery,1,2071,334,302,19,310,12,4.85,2.0,6.0,0.2949,482600.0,
V5207,Vendor_160_Ltd,Textiles,1,1930,249,158,101,204,3,2.96,,3.0,0.2849,398405.0,NO
V9316,Vendor_836_Co,Packaging,24,2236,524,44,409,149,17,4.24,5.0,18.0,0.0876,495994.0,High Risk
V6763,Vendor_585_LLC,Raw Materials,22,3553,2621,1232,306,1316,8,4.87,2.0,11.0,0.0743,199443.0,high risk
V4387,Vendor_485_Inc,Textiles,10,3177,597,435,343,224,8,3.29,5.0,23.0,0.0009,235418.0,Low
V8125,Vendor_476_Corp,Food & Beverage,17,4106,283,98,228,211,8,4.03,4.0,33.0,0.167,274504.0,NO
V2722,Vendor_225_Corp,Electronics ,28,2470,1783,332,1059,824,1,3.25,9.0,28.0,0.2811,263547.0,NO
V5835,Vendor_864_Inc,Raw Materials,15,4120,2232,673,1052,1973,3,2.42,,51.0,0.2902,422835.0,High Risk
V3071,Vendor_966_Corp,Electronics,4,1704,1459,1088,351,140,12,4.27,1.0,54.0,0.2918,447351.0,NO
V7048,Vendor_946_Corp,IT Hardware,15,2257,1372,252,283,1174,22,4.05,3.0,69.0,0.2195,175669.0,High Risk
V9885,Vendor_601_Inc,Chemicals,17,2408,1073,1030,415,761,11,2.6,3.0,35.0,0.2293,261853.0,NO
V2340,Vendor_823_Co,Chemicals,25,2936,1098,523,498,795,1,3.29,4.0,,0.197,257601.0,Low
V4919,Vendor_835_Ltd,Textiles,14,1233,150,72,85,81,4,4.79,9.0,39.0,0.2812,110980.0,low
V6256,Vendor_524_LLC,IT Hardware,13,2237,1205,49,396,194,28,3.29,10.0,27.0,0.1906,108209.0,1
V8192,Vendor_335_Corp,Food & Beverage,30,695,251,144,166,169,16,99.0,8.0,42.0,0.1288,160865.0,Low Risk
V8707,Vendor_263_Inc,Office Supplies,15,2179,775,489,557,697,12,3.5,2.0,35.0,0.0075,201444.0,Low
V4161,Vendor_805_Co,Food & Beverage,17,2174,367,116,162,17,28,2.94,5.0,10.0,0.053,442760.0,1
V7001,Vendor_470_Ltd,IT Hardware,2,3599,142,32,17,60,20,2.46,8.0,48.0,0.1116,401076.0,1
V5458,Vendor_550_Ltd,Textiles,12,4248,2755,2715,2336,1949,13,4.34,10.0,5.0,TBD,190606.0,Low
V7541,Vendor_365_LLC,Chemicals,1,123,93,42,10,39,13,2.03,6.0,71.0,0.23,38324.0,0
V7486,Vendor_682_Ltd,Packaging,23,4226,3001,443,2986,2046,27,3.7,10.0,53.0,0.0982,216923.0,0
V5095,Vendor_461_LLC,Textiles,16,4512,3475,1823,1645,2772,8,3.1,6.0,68.0,0.1783,24842.0,low
V1495,Vendor_444_Corp,Food & Beverage,11,2740,2641,702,2080,2121,2,4.62,9.0,12.0,0.1758,463694.0,YES
V1052,Vendor_773_LLC,Chemicals,19,3591,950,741,498,405,7,,3.0,70.0,0.0444,273254.0,Low Risk
V6526,Vendor_635_Ltd,Packaging,8,4845,1464,1180,835,56,3,4.85,4.0,35.0,0.2696,95107.0,0
V9670,Vendor_224_Co,Automotive,16,298,181,45,116,98,18,2.18,3.0,62.0,0.002,190260.0,0
V4419,Vendor_562_LLC,Food & Beverage,4,2789,294,170,271,95,7,2.52,8.0,12.0,0.0766,231768.0,low
V7744,Vendor_696_LLC,Food & Beverage,10,4230,4123,3635,1233,2774,14,3.62,7.0,32.0,0.174,432453.0,NO
V4641,Vendor_619_Inc,Automotive,15,3602,2622,646,325,580,15,3.11,2.0,11.0,0.2783,397337.0,Low Risk
V8820,Vendor_528_Inc,IT Hardware,16,2008,979,406,682,653,30,2.62,9.0,6.0,0.0965,144752.0,0
V3792,Vendor_679_Corp,Packaging,6,820,682,382,484,561,24,4.41,10.0,23.0,0.0511,428001.0,Low Risk
V3353,Vendor_606_Ltd,Textiles,12,2113,1263,1188,142,801,1,2.44,,38.0,0.2801,85833.0,Low
V3646,Vendor_499_Ltd,Food & Beverage,21,274,233,87,30,190,12,4.41,5.0,52.0,0.0282,206233.0,YES
V1945,Vendor_418_Co,IT Hardware,26,801,557,379,304,58,13,3.01,1.0,71.0,0.075,296268.0,Low
V5116,Vendor_843_Co,Electronics,19,1658,1230,499,155,803,24,4.98,5.0,55.0,0.2683,343780.0,High Risk
V5813,Vendor_541_LLC,Food & Beverage,5,3050,2954,505,2851,1811,20,2.07,10.0,22.0,0.2048,33391.0,YES
V6399,Vendor_550_Inc,Textiles,27,65,50,21,39,24,27,4.58,10.0,18.0,0.0901,317256.0,NO
V5561,Vendor_795_Corp,Machinery,28,4374,3601,3234,1504,3190,13,4.48,5.0,66.0,0.164,63315.0,Low
V1264,Vendor_205_Inc,Automotive,10,2977,1034,923,893,673,12,4.8,2.0,56.0,0.1296,68162.0,NO
V2822,Vendor_350_Corp,Chemicals,12,2568,2560,1374,2009,2112,25,4.59,3.0,48.0,0.0681,-10000.0,0
V5949,Vendor_964_Ltd,Office Supplies,4,2656,1520,1179,780,813,28,4.77,1.0,59.0,0.261,145799.0,0
V5529,Vendor_208_Co,Textiles,6,4113,1057,655,811,1053,8,3.94,4.0,22.0,0.2913,226109.0,0
V4061,Vendor_663_Co,Office Supplies,28,3310,410,43,377,284,3,,8.0,41.0,0.1508,160499.0,1
V4639,Vendor_257_Co,IT Hardware,9,4049,1343,1086,29,793,2,2.21,2.0,59.0,0.0233,100404.0,0
V9202,Vendor_267_Corp,Textiles,21,3016,587,63,464,542,11,,2.0,24.0,0.0278,437328.0,SAFE
V4705,Vendor_926_Ltd,Automotive,25,3021,470,390,142,293,27,3.87,9.0,4.0,0.1827,345893.0,NO
V7369,Vendor_104_Co,Office Supplies,1,4800,2629,2452,306,705,8,2.67,5.0,56.0,,361106.0,Low
V7957,Vendor_172_Inc,Food & Beverage,14,4485,1188,284,343,356,19,3.21,5.0,46.0,0.0379,80983.0,Low
V4438,Vendor_428_LLC,Machinery,10,854,533,319,23,319,9,3.6,8.0,16.0,0.0818,83573.0,High
V3069,Vendor_289_Co,Office Supplies,12,2805,2803,1376,1527,2153,2,4.85,6.0,47.0,0.0403,226216.0,low
V3145,Vendor_384_Inc,Electronics,26,3322,1421,1141,134,209,16,3.31,4.0,56.0,0.0671,23345.0,YES
V6616,Vendor_796_Corp,Food & Beverage,24,545,540,107,292,423,3,4.13,2.0,48.0,0.2268,29562.0,No
V9191,Vendor_404_Inc,Textiles,8,4055,2407,2265,175,2295,9,3.41,,57.0,0.0502,289828.0,1
V6371,Vendor_698_Ltd,Packaging,22,2013,105,33,100,42,25,3.35,7.0,48.0,0.2477,242368.0,High Risk
V6360,Vendor_787_LLC,Textiles,2,261,212,98,27,143,23,3.59,9.0,6.0,0.2986,230816.0,0
V7989,Vendor_950_Inc,Food & Beverage,5,3425,3352,2836,79,2649,23,3.88,6.0,23.0,0.1085,115042.0,low
V8982,Vendor_949_LLC,Packaging,7,1786,1046,48,634,25,16,4.84,7.0,42.0,0.1374,205867.0,Low Risk
V6217,Vendor_618_LLC,IT Hardware,6,4560,2307,1319,1398,107,10,2.26,8.0,56.0,0.1914,141198.0,0
V4232,Vendor_359_Ltd,IT/IS,15,1684,20,7,0,7,3,4.2,2.0,55.0,0.235,192470.0,0
V9079,Vendor_378_Inc,IT Hardware,28,3672,3144,1851,2570,2034,6,3.11,2.0,17.0,0.065,235554.0,0
V7505,Vendor_214_Inc,Food & Beverage,29,2040,1606,1109,1408,1515,21,4.38,5.0,17.0,0.2602,,NO
V8275,Vendor_688_LLC,Packaging,26,610,333,80,160,220,16,3.63,8.0,40.0,0.2361,40554.0,Low
V2210,Vendor_319_Corp,IT Hardware,29,190,159,16,22,76,25,4.98,4.0,46.0,0.1984,315410.0,YES
V5139,Vendor_542_Ltd,Machinery,16,4478,1266,683,837,698,23,3.22,9.0,20.0,0.1582,144368.0,YES
V9694,Vendor_346_Ltd,Machinery,20,2599,1970,762,1116,535,4,3.33,1.0,14.0,0.2467,413988.0,High Risk
V9698,Vendor_633_LLC,Machinery,13,3160,92,37,64,87,5,4.21,2.0,57.0,0.2197,167005.0,0
V4046,Vendor_608_Ltd,Chemicals,28,1916,1416,474,7,369,1,2.95,8.0,31.0,0.1869,222423.0,0
V6922,Vendor_829_Co,Automotive,11,1552,1255,285,604,389,7,4.39,10.0,TBD,0.052,380895.0,NO
V4018,Vendor_977_Ltd,Packaging,28,4627,3663,1348,3365,3312,26,4.29,1.0,8.0,0.1039,74144.0,High Risk
V9959,Vendor_647_Inc,Raw Materials,24,4722,4308,3523,3525,4032,14,3.65,,26.0,0.2896,489305.0,Low
V3913,Vendor_502_LLC,Packaging,20,3573,1430,286,1188,681,2,2.83,5.0,17.0,0.2998,244384.0,Low
V2126,Vendor_782_Ltd,Office Supplies,27,2431,1834,1489,736,645,8,,4.0,4.0,0.0352,282499.0,NO
V3019,Vendor_564_Inc,Machinery,1,2702,2202,1858,556,2010,21,4.9,9.0,72.0,0.2955,414577.0,1
V4409,Vendor_926_Ltd,Textiles,10,405,168,160,15,88,6,3.33,8.0,36.0,0.2453,85662.0,1
V3126,Vendor_261_Inc,IT/IS,17,2460,2375,1173,608,1184,15,4.3,3.0,56.0,0.2514,138076.0,0
V7404,Vendor_186_Inc,IT Hardware,6,1751,570,142,187,552,19,2.22,8.0,46.0,0.0489,497588.0,High Risk
V8904,Vendor_463_Corp,Textiles,24,3235,2570,1498,1456,164,25,4.74,5.0,30.0,0.1157,166677.0,1
V8786,Vendor_237_Ltd,Food & Beverage,15,1307,136,126,15,86,19,3.65,1.0,7.0,0.0435,392555.0,0
V5137,Vendor_998_Co,Packaging,29,1268,89,16,24,53,12,3.35,2.0,56.0,0.0203,220678.0,High Risk
V7762,Vendor_173_Ltd,Food & Beverage,18,130,72,7,20,58,4,2.51,9.0,32.0,0.0736,115919.0,High
V6436,Vendor_781_LLC,Textiles,19,3136,2370,2188,1929,943,999,3.7,1.0,9.0,0.0911,325654.0,YES
V2579,Vendor_491_Corp,Food & Beverage,9,4049,2738,794,1885,276,4,2.73,3.0,58.0,,10393.0,High Risk
V9331,Vendor_470_Corp,Packaging,10,4322,765,661,686,433,6,4.85,6.0,63.0,0.0576,73123.0,0
V3184,Vendor_505_LLC,Food & Beverage,10,4906,4020,1764,2884,3130,18,4.09,5.0,43.0,0.0698,419600.0,High Risk
V9693,Vendor_773_Corp,Packaging,11,4144,1157,538,275,704,5,3.28,2.0,12.0,0.0754,394174.0,
V9903,Vendor_602_LLC,Packaging,5,2734,152,125,60,122,4,3.74,9.0,4.0,0.1131,271749.0,High
V3821,Vendor_334_Inc,Packaging,12,2899,652,439,602,17,9,4.17,N/A,19.0,0.1137,127106.0,0
V6627,Vendor_519_Ltd,Textiles,8,4862,2830,1712,1298,1695,7,2.14,9.0,2.0,0.0492,174962.0,High
V1430,Vendor_407_LLC,Food & Beverage,15,14,1,1,0,0,4,2.78,5.0,71.0,0.2778,87515.0,
V3713,Vendor_584_Corp,Chemicals,15,2017,1294,622,845,1106,6,2.58,4.0,33.0,0.1914,459877.0,high
V9493,Vendor_587_Corp,,3,660,421,393,289,367,29,2.45,7.0,54.0,0.2099,58512.0,
V9252,Vendor_812_Ltd,Chemicals,22,2872,2615,227,1640,1921,22,4.33,3.0,25.0,0.2341,447464.0,Low
V5808,Vendor_223_LLC,Raw Materials,14,1302,717,386,60,47,22,3.19,8.0,60.0,0.1056,252813.0,
V3992,Vendor_855_Co,Electronics,6,4346,1884,1691,1174,1855,11,4.37,3.0,40.0,0.0804,286105.0,High Risk
V6746,Vendor_189_LLC,Textiles,8,4357,2676,470,2227,2088,14,4.67,3.0,10.0,0.0642,324978.0,high
V8239,Vendor_214_Corp,Textiles,9,4886,3786,2507,464,3240,11,2.23,4.0,2.0,0.25,254472.0,YES
V6635,Vendor_458_Inc,Electronics,3,1058,809,724,36,101,12,4.09,6.0,28.0,0.153,165260.0,1
V2024,Vendor_366_Corp,Food & Beverage,29,2300,339,196,165,255,18,4.03,5.0,16.0,0.009,211322.0,high
V9332,Vendor_944_LLC,Machinery ,28,1109,614,332,95,57,3,4.0,2.0,4.0,0.1929,167884.0,high
V7994,Vendor_639_Ltd,Office Supplies,28,4781,4031,2394,2119,2315,2,3.01,6.0,4.0,0.1135,,
V4734,Vendor_943_LLC,Textiles,9,972,835,419,728,217,30,4.2,10.0,63.0,0.2155,361108.0,YES
V6388,Vendor_401_Corp,Textiles,24,3168,1425,49,114,926,8,2.32,3.0,42.0,0.1035,175735.0,
V3393,Vendor_907_Ltd,IT Hardware,25,2504,1146,2,810,79,30,2.1,6.0,40.0,0.0145,357288.0,YES
V2800,Vendor_621_Co,Packaging,15,4448,820,485,241,442,24,3.03,5.0,47.0,0.0484,60981.0,high
V1088,Vendor_866_LLC,IT Hardware,22,4351,2129,1281,361,774,20,4.34,1.0,31.0,0.0073,391537.0,
V2500,Vendor_909_Corp,Food & Beverage,4,956,160,78,0,24,28,2.85,9.0,62.0,Low,79490.0,low
V9125,Vendor_613_Inc,Automotive,9,2398,567,273,307,94,16,4.25,1.0,20.0,0.0645,69466.0,High Risk
V9248,Vendor_116_Corp,Food & Beverage,6,2085,1455,521,1199,167,26,,7.0,6.0,0.025,460672.0,NO
V3357,Vendor_342_LLC,Packaging,21,2688,2396,308,1241,967,12,,4.0,70.0,0.061,292474.0,High
V5103,Vendor_217_Corp,Raw Materials,15,3156,3095,1720,263,253,25,3.12,1.0,23.0,0.0963,367333.0,low
V9891,Vendor_136_Ltd,Chemicals,7,4185,274,261,81,113,17,4.75,8.0,23.0,0.1824,123012.0,0
V8941,Vendor_721_Ltd,Textiles,2,3337,2459,780,1122,2025,28,2.98,9.0,43.0,0.1128,167107.0,low
V7729,Vendor_871_Ltd,Raw Materials,27,2110,766,205,694,539,9,2.43,,40.0,0.2729,28160.0,
V2872,Vendor_184_Inc,Office ,24,2750,2018,1615,1311,1201,23,2.29,2.0,51.0,0.2127,477855.0,0
V9797,Vendor_947_Inc,Automotive,6,4765,1648,874,1589,153,29,2.05,9.0,47.0,0.1257,407801.0,High
V8897,Vendor_227_Ltd,Chemicals,16,4092,3337,2907,777,2459,20,4.38,10.0,2.0,0.1869,150455.0,0
V2152,Vendor_738_Corp,Machinery,7,3313,2073,1359,979,596,24,2.09,5.0,39.0,0.0379,251802.0,Low Risk
V5607,Vendor_236_Corp,Machinery,8,284,156,3,38,54,22,4.48,8.0,27.0,0.1659,196525.0,
V1282,Vendor_,Office Supplies,6,3142,2624,1558,2522,382,22,2.75,2.0,52.0,0.1607,219839.0,High Risk
V4287,Vendor_429_Ltd,Automotive,15,3356,1380,522,112,1290,25,2.9,3.0,10.0,0.0418,375732.0,
V5256,Vendor_492_Co,Raw Materials,14,2903,2883,2485,602,2016,5,2.01,7.0,67.0,0.1511,455251.0,NO
V6892,Vendor_826_Corp,Packaging,12,2359,371,206,136,283,19,4.57,5.0,70.0,0.2754,434811.0,0
V2420,Vendor_797_LLC,Textiles,2,3646,1537,1218,479,1110,21,2.38,2.0,55.0,0.0341,53681.0,1 
V1399,Vendor_338_Corp,Electronics,4,3799,435,263,276,117,3,4.34,3.0,60.0,0.0782,19230.0,YES
V7071,Vendor_379_Co,Chemicals,24,1547,1176,470,473,34,19,4.1,2.0,54.0,0.0993,429710.0,0
V1332,Vendor_612_Co,Office Supplies,22,679,131,98,37,72,13,4.97,1.0,19.0,0.2477,436506.0,YES
V2207,Vendor_816_Corp,Office Supplies,9,4958,2546,1586,1347,1073,23,2.52,3.0,53.0,0.2974,31998.0,high
V3066,Vendor_467_LLC,Chemicals,21,4009,387,29,197,53,3,3.37,5.0,41.0,0.0151,123849.0,1 
V1008,Vendor_930_LLC,Electronics,9,4078,1465,378,123,977,6,3.3,3.0,,0.0213,455493.0,YES
V4701,Vendor_391_Corp,Office Supplies,2,3712,2725,384,488,27,-1,3.47,4.0,56.0,0.0198,164002.0,Low
V2996,Vendor_425_Corp,Office Supplies,21,4971,3890,2133,1323,920,15,3.91,4.0,32.0,0.2814,375311.0,1
V9327,Vendor_800_Co,Electronics,25,4262,386,347,135,35,22,2.39,5.0,52.0,0.2419,97774.0,high risk
V8838,Vendor_750_Co,IT Hardware,2,3186,1535,426,622,877,22,3.47,1.0,64.0,0.0959,17274.0,High
V4759,Vendor_708_LLC,IT Hardware,19,3160,1413,906,1118,449,25,2.87,2.0,4.0,0.1735,185079.0,1
V5239,Vendor_268_Ltd,Chemicals,17,4750,1064,317,353,151,9,4.08,7.0,34.0,0.02,451941.0,1
V9759,Vendor_753_Ltd,Packaging,17,4786,4686,1555,2811,1821,10,-1.0,9.0,24.0,0.0881,247824.0,0
V7411,Vendor_449_LLC,Office Supplies,16,2622,1050,578,805,68,6,2.17,4.0,68.0,0.1995,41060.0,High
V5839,Vendor_732_Corp,Food & Beverage,20,3515,1442,1302,1222,51,22,2.32,5.0,21.0,0.0979,481065.0,1
V1120,Vendor_480_Inc,Electronics,25,2176,828,329,510,420,29,TBD,,27.0,0.1096,477895.0,Low Risk
V1446,Vendor_182_LLC,Textiles,11,3510,431,266,225,26,3,2.44,1.0,9.0,0.1264,190285.0,low
V6613,Vendor_980_Inc,IT Hardware,29,2443,783,650,313,202,15,3.56,3.0,49.0,0.1086,58838.0,Low
V1727,Vendor_997_Co,Machinery,26,4222,1386,838,675,641,9,3.55,9.0,19.0,0.1437,60589.0,High Risk
V3003,Vendor_891_Inc,Packaging,27,4285,2062,2033,369,975,19,4.21,4.0,55.0,0.0654,57001.0,0
V8248,Vendor_790_Inc,Electronics,11,2442,949,557,242,631,29,2.66,9.0,25.0,0.0638,198031.0,
V4401,Vendor_313_Corp,Chemicals,12,1358,178,113,73,89,8,2.55,2.0,46.0,0.1612,283412.0,1
V5734,Vendor_414_Co,Packaging,28,1036,446,339,99,291,8,2.06,7.0,63.0,0.1375,398810.0,0
V7478,Vendor_814_LLC,Food & Beverage,8,2854,4,0,3,4,16,2.99,,1.0,0.2802,471115.0,Low Risk
V8464,Vendor_311_Corp,Electronics,5,3716,1718,285,730,187,26,3.91,10.0,67.0,0.1908,131291.0,1
V1274,Vendor_312_Ltd,Textiles,17,756,751,171,214,163,14,4.94,3.0,57.0,0.2788,393677.0,low
V8779,Vendor_334_Ltd,Textiles,3,865,808,84,217,26,26,4.26,10.0,52.0,0.1373,58503.0,Low Risk
V1712,Vendor_361_LLC,Electronics,10,160,96,74,84,67,7,,10.0,35.0,0.0159,344281.0,0
V9311,Vendor_631_Co,Chemicals,12,2940,806,191,776,21,16,3.86,5.0,64.0,0.0162,232107.0,0
V3543,Vendor_549_Corp,Chemicals,8,4478,20,18,16,10,22,3.25,5.0,61.0,0.0759,317909.0,1
V9790,Vendor_101_Corp,Automotive,7,4391,1520,325,1076,337,5,2.74,Good,6.0,0.131,268362.0,RISK
V3483,Vendor_267_Inc,Raw Materials,6,3625,3022,499,1482,1029,11,4.91,1.0,27.0,N/A,356152.0,1
V4301,Vendor_396_Inc,IT Hardware,19,1783,1578,606,605,1035,21,3.23,10.0,40.0,0.217,1250.0,1
V3691,Vendor_704_Co,Automotive,2,406,13,12,1,9,20,4.58,9.0,66.0,0.2072,436720.0,0
V9137,Vendor_696_LLC,Office Supplies,17,3634,2072,858,1181,192,3,4.82,2.0,50.0,0.1986,,low
V2978,Vendor_860_Inc,Food & Beverage,23,2225,402,219,297,248,28,3.19,3.0,72.0,0.2984,159517.0,High Risk
V9706,Vendor_113_Inc,Textiles,17,2010,1589,16,259,4,2,4.85,9.0,48.0,0.0616,258243.0,1
V2525,Vendor_982_Co,Raw Materials,1,2194,341,230,43,341,26,2.39,2.0,32.0,0.0223,196763.0,high risk
V7480,Vendor_786_Inc,Machinery,17,3927,2175,925,1793,1255,24,4.24,1.0,28.0,0.281,331792.0,low
V6471,Vendor_317_Inc,Chemicals,27,948,914,307,695,215,6,3.03,7.0,17.0,0.2488,280418.0,YES
V1081,Vendor_912_Co,Food & Beverage,25,2388,165,29,61,77,7,3.03,4.0,62.0,0.2589,479530.0,High Risk
V9622,Vendor_512_Co,Automotive,17,3911,879,456,79,378,25,3.18,5.0,64.0,0.1909,231728.0,NO
V3790,Vendor_241_Co,Food & Beverage,4,624,270,168,194,138,5,2.96,3.0,53.0,0.1911,351347.0,1
V8268,Vendor_571_Corp,Raw Materials,28,2810,2189,484,1307,738,8,2.23,2.0,58.0,0.1302,263515.0,High Risk
V5565,Vendor_572_Corp,Food & Beverage,10,1362,685,8,310,417,5,3.16,9.0,70.0,0.2694,157466.0,0
V5210,Vendor_581_Ltd,Office Supplies,25,3487,1728,1310,996,1525,2,4.14,2.0,11.0,0.1986,33252.0,
V7870,Vendor_978_Inc,Electronics,27,3884,62,23,43,51,25,3.21,,22.0,0.1513,198099.0,low
V3177,Vendor_146_LLC,IT Hardware,12,3760,3288,1263,910,2155,27,4.02,1.0,57.0,0.1525,235481.0,low
V4743,Vendor_533_Ltd,Office Supplies,25,3088,1849,89,1533,1261,21,4.86,1.0,17.0,0.2723,366784.0,0
V4256,Vendor_329_Inc,Food & Beverage,19,126,81,52,44,79,28,3.05,8.0,50.0,0.2607,38544.0,
V2668,Vendor_284_Ltd,Electronics,29,2288,2004,373,155,593,6,4.43,3.0,45.0,0.1992,417659.0,low
V9969,Vendor_763_Inc,IT Hardware,25,4793,2414,1441,617,1074,23,4.78,2.0,6.0,0.1305,181282.0,YES
V4539,Vendor_954_Inc,IT Hardware,25,959,208,165,104,174,24,2.35,1.0,72.0,0.2804,217911.0,Low Risk
V4963,Vendor_452_Inc,Automotive,30,2320,1421,935,586,981,15,3.59,6.0,64.0,0.1158,403853.0,1
V5051,Vendor_545_Ltd,IT Hardware,18,3818,662,14,482,63,27,4.35,10.0,27.0,0.1423,204876.0,1
V6440,Vendor_583_Ltd,Chemicals,29,23,14,5,13,3,30,4.74,8.0,48.0,0.0996,273692.0,Low
V2329,Vendor_780_Inc,IT Hardware,2,3010,1825,901,908,588,12,-1.0,8.0,44.0,0.0575,68373.0,NO
V8838,Vendor_934_Corp,Raw Materials,19,1210,655,151,399,457,14,4.88,5.0,19.0,0.0271,67865.0,0
V4909,Vendor_207_Corp,Automotive,17,586,89,39,77,26,13,2.49,4.0,7.0,0.2449,384780.0,
V2195,Vendor_710_Ltd,Packaging,27,2039,147,140,95,123,3,3.2,5.0,58.0,0.1594,458228.0,High Risk
V3856,Vendor_497_Inc,Office Supplies,12,4404,2950,916,591,1174,24,2.06,5.0,19.0,0.0128,216152.0,NO
V9808,Vendor_207_Co,Machinery,6,580,295,205,165,133,26,2.5,1.0,51.0,0.2803,36162.0,Low
V4394,Vendor_700_LLC,Machinery,11,1041,420,35,391,283,25,2.44,10.0,1.0,,76858.0,0
V6634,Vendor_728_Corp,Raw Materials,5,4010,1016,482,128,713,11,3.81,7.0,65.0,0.0838,,1
